'CPU_freq,CPU_cores_percent,temperature,CPU_core_demand,RAM_demand,Time,CPU_freq,CPU_cores_percent,memory,CPU_cores_percent_used,instructions,cycles,time,temperature,CPU_core_demand,RAM_demand,cpi,swap'
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,20.0,0.19699999999999998,10416618424.0,4783566177.0,27.117839776,51.0,1.1,25.0,0.45922447979649605,17576.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,25.0,0.198,10117045078.0,4545842200.0,25.676452096,50.0,1.1,25.0,0.4493250909680279,11264.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,30.0,0.198,10082742187.0,4784952855.0,26.987431848000003,49.0,1.1,25.0,0.47456860110629295,5644.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,35.0,0.19899999999999998,10039002759.0,4803696539.0,26.89229477,49.0,1.1,25.0,0.478503358781674,0.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,40.0,0.19899999999999998,10296608813.0,4662412438.0,26.083720005,49.0,1.1,25.0,0.45281048573132704,0.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,45.0,0.19899999999999998,10210521251.0,4709075711.0,26.374968498,49.0,1.1,25.0,0.46119836541535997,0.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.2,50.0,0.19899999999999998,10065536300.0,4712898232.0,26.38868702,49.0,1.1,25.0,0.468221274210694,0.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.4,20.0,0.396,9183359973.0,3610475435.0,10.170936131,49.0,1.1,25.0,0.39315407929289,7692.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.4,25.0,0.361,10419927704.0,4943822152.0,15.293504007000001,49.0,1.1,25.0,0.4744583928449099,15372.0
600.0,40.0,48692.0,1.1,25.0,122.2571398,900.0,0.4,30.0,0.39799999999999996,10182751081.0,4568351559.0,12.782252077999999,49.0,1.1,25.0,0.448636279396448,3084.0
