'CPU_freq,CPU_cores_percent,temperature,CPU_core_demand,RAM_demand,Time,CPU_freq,CPU_cores_percent,memory,CPU_cores_percent_used,instructions,cycles,time,temperature,CPU_core_demand,RAM_demand,cpi,swap'
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,20.0,0.19899999999999998,49389351174.0,14412091220.0,80.65468742,48.0,1.1,25.0,0.291805639827618,4620.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,25.0,0.19899999999999998,49116491257.0,14210666593.0,79.459807622,48.0,1.1,25.0,0.289325768785951,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,30.0,0.19899999999999998,50499029042.0,15972174191.0,89.53726557200001,47.0,1.1,25.0,0.31628675826055797,11276.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,35.0,0.19899999999999998,50390040029.0,15190577990.0,84.877837462,48.0,1.1,25.0,0.301459930995443,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,40.0,0.19899999999999998,49044321662.0,14213982576.0,79.47904612,48.0,1.1,25.0,0.289819128786383,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,45.0,0.2,49102180192.0,14074123748.0,78.596102179,47.0,1.1,25.0,0.286629304299059,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.2,50.0,0.2,49255840935.0,14967151797.0,83.592006919,48.0,1.1,25.0,0.303865521588622,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,20.0,0.39799999999999996,49253977082.0,14263656224.0,39.944253894,48.0,1.1,25.0,0.289593999693736,4364.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,25.0,0.39899999999999997,48924736992.0,14241335864.0,39.761039042,48.0,1.1,25.0,0.29108661056938695,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,30.0,0.39899999999999997,50464906875.0,15168579479.0,42.399293250999996,48.0,1.1,25.0,0.300576785300963,11788.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,35.0,0.39899999999999997,49197963702.0,14010223260.0,39.081280622,48.0,1.1,25.0,0.28477242157545696,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,40.0,0.39899999999999997,49216952355.0,14127711140.0,39.452285730999996,48.0,1.1,25.0,0.28704969454624796,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,45.0,0.39899999999999997,49107277792.0,14161313422.0,39.561051055,48.0,1.1,25.0,0.28837504457041996,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.4,50.0,0.4,49226255914.0,14105536977.0,39.315389851999996,48.0,1.1,25.0,0.28654498935777,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,20.0,0.599,49070986021.0,14144331843.0,26.310099738,48.0,1.1,25.0,0.288242258611777,4620.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,25.0,0.599,49144997293.0,14121483103.0,26.271555705999997,48.0,1.1,25.0,0.287343247142907,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,30.0,0.599,49193700769.0,14128202660.0,26.270910386,48.0,1.1,25.0,0.28719536117728,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,35.0,0.599,48925516612.0,13699208946.0,25.498408475999998,49.0,1.1,25.0,0.280001314133083,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,40.0,0.599,49076788179.0,14666772563.0,27.272881564000002,49.0,1.1,25.0,0.29885355393480895,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,45.0,0.6,49305003164.0,14138123487.0,26.2748771,48.0,1.1,25.0,0.28674825230156203,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.6,50.0,0.599,49215750279.0,14270355643.0,26.539872359,48.0,1.1,25.0,0.289955056300118,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,20.0,0.7829999999999999,49622418187.0,14538276310.0,20.689606618,49.0,1.1,25.0,0.2929779894081961,6668.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,25.0,0.799,49194971493.0,14275999376.0,19.910853131,49.0,1.1,25.0,0.290192248165675,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,30.0,0.799,49194334632.0,14099122889.0,19.660706445,49.0,1.1,25.0,0.28660054037663,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,35.0,0.8,48895436059.0,14589857364.0,20.324289472,49.0,1.1,25.0,0.298388940562776,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,40.0,0.797,49212115544.0,14048793956.0,19.635651169000003,49.0,1.1,25.0,0.28547429430135196,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,45.0,0.799,50493391669.0,15185797757.0,21.170848067,49.0,1.1,25.0,0.300748221797966,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,0.8,50.0,0.799,49240958493.0,14032107265.0,19.568868652,49.0,1.1,25.0,0.284968199126237,0.0
600.0,40.0,47616.0,1.1,25.0,765.5375,900.0,1.0,20.0,0.8759999999999999,53091712440.0,17987530473.0,22.896364836999997,49.0,1.1,25.0,0.3388010980683289,24504.0
