'CPU_freq,CPU_cores_percent,temperature,CPU_core_demand,RAM_demand,Time,CPU_freq,CPU_cores_percent,memory,CPU_cores_percent_used,instructions,cycles,time,temperature,CPU_core_demand,RAM_demand,cpi,swap'
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.0,25.0,0.937,50943805898.0,15332502125.0,18.242729863,50.0,1.1,25.0,0.300968917707067,9228.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.0,30.0,0.976,50799876141.0,15553191842.0,17.763230755,49.0,1.1,25.0,0.30616594022455,11276.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.0,35.0,0.992,50578452813.0,15250810796.0,17.124660973,51.0,1.1,25.0,0.301527823565218,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.0,40.0,0.998,50863285657.0,15394380693.0,17.181496837,50.0,1.1,25.0,0.302661939631919,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.0,45.0,0.995,50593448181.0,15300633376.0,17.125549486,50.0,1.1,25.0,0.302423217355365,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.0,50.0,0.997,50737723697.0,15529312487.0,17.350150345,50.0,1.1,25.0,0.30607034284271994,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,20.0,0.8009999999999999,51328429469.0,16196775539.0,22.549641498000003,50.0,1.1,25.0,0.315551746012063,26884.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,25.0,1.0,50905492135.0,15622132777.0,17.400527582,50.0,1.1,25.0,0.306885016170171,11264.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,30.0,1.008,50695378032.0,15512738664.0,17.142525665,50.0,1.1,25.0,0.305999072621729,13580.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,35.0,1.084,52038145111.0,16488750665.0,16.94419201,50.0,1.1,25.0,0.31685892396488397,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,40.0,1.047,50615552037.0,17555569683.0,18.678764428,50.0,1.1,25.0,0.346841414871201,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,45.0,1.05,50758121225.0,15335902198.0,16.265973529,50.0,1.1,25.0,0.302136915785735,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.2,50.0,1.055,50637044799.0,15031948286.0,15.868208078,50.0,1.1,25.0,0.29685674481337104,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,20.0,0.804,51074923929.0,16003956798.0,22.182435145,50.0,1.1,25.0,0.313342743696443,23320.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,25.0,0.985,50882645981.0,15542422660.0,17.586271922,50.0,1.1,25.0,0.30545625842263896,15116.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,30.0,1.064,51037602683.0,15628758732.0,16.366226435999998,51.0,1.1,25.0,0.30622047099413896,12812.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,35.0,1.097,50808022416.0,15323378190.0,15.566694767000001,50.0,1.1,25.0,0.30159367480467997,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,40.0,1.08,50758732032.0,17507376216.0,18.055915299000002,51.0,1.1,25.0,0.344913584621514,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,45.0,1.143,52226301267.0,16698257243.0,16.274125559,51.0,1.1,25.0,0.319728888278578,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.4,50.0,1.082,50789619521.0,17653142254.0,18.16971614,51.0,1.1,25.0,0.34757382355859007,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,20.0,0.7879999999999999,50967426906.0,15842261529.0,22.411193999,50.0,1.1,25.0,0.31083110313216494,25088.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,25.0,0.978,50676631253.0,15217479710.0,17.336604102,50.0,1.1,25.0,0.300285937201067,21760.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,30.0,1.061,49327632669.0,16452805736.0,17.267581868,50.0,1.1,25.0,0.33354136101365695,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,35.0,1.127,50898697351.0,15373306251.0,15.20048729,50.0,1.1,25.0,0.302037322192843,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,40.0,1.071,49697923050.0,14595666789.0,15.176179407000001,50.0,1.1,25.0,0.29368766123919504,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,45.0,1.1179999999999999,50655513497.0,15339336298.0,15.287522245999998,50.0,1.1,25.0,0.302816717057037,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,900.0,1.6,50.0,1.1159999999999999,50714176045.0,15253471081.0,15.227028742,51.0,1.1,25.0,0.300773319623002,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,20.0,0.19899999999999998,49830984516.0,14537911064.0,61.024485938999995,49.0,1.1,25.0,0.29174440772552,6412.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,25.0,0.198,50916541384.0,17979124930.0,76.057612088,48.0,1.1,25.0,0.353109705437489,13580.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,30.0,0.19899999999999998,50872145885.0,15376701692.0,64.565267125,48.0,1.1,25.0,0.30226170774789196,13836.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,35.0,0.19899999999999998,52283984342.0,16725385449.0,70.178828261,48.0,1.1,25.0,0.319895005315507,4876.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,40.0,0.19899999999999998,50530467650.0,15695430838.0,65.863591637,48.0,1.1,25.0,0.31061321155217897,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,45.0,0.19899999999999998,52134544999.0,18702247049.0,78.378477272,48.0,1.1,25.0,0.3587304166432971,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.2,50.0,0.2,49408708499.0,16648476162.0,69.695409085,48.0,1.1,25.0,0.336954287366911,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,20.0,0.349,51020405246.0,15616488111.0,37.438967366,48.0,1.1,25.0,0.30608318447694605,24328.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,25.0,0.38799999999999996,50872717414.0,15785737241.0,33.989716081,48.0,1.1,25.0,0.310298683526896,12300.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,30.0,0.397,50825182564.0,15266133352.0,32.131778404,48.0,1.1,25.0,0.300365538928986,6144.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,35.0,0.39899999999999997,50759138446.0,15413815439.0,32.26205727,48.0,1.1,25.0,0.303665820793982,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,40.0,0.4,50698242960.0,15349664066.0,32.099859157,48.0,1.1,25.0,0.302765207822105,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,45.0,0.39899999999999997,51014050329.0,17659299341.0,36.973352298,48.0,1.1,25.0,0.346165403984031,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.4,50.0,0.39899999999999997,50596393233.0,15022766132.0,31.463501431999997,48.0,1.1,25.0,0.29691377531238394,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,20.0,0.537,51057190105.0,15671509595.0,24.396122346,49.0,1.1,25.0,0.30694030679657897,23808.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,25.0,0.562,51023974122.0,15485419142.0,23.034845535,49.0,1.1,25.0,0.303493003210095,19200.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,30.0,0.59,50839914825.0,16080367458.0,22.768906596,50.0,1.1,25.0,0.316294146309085,8448.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,35.0,0.598,50714695156.0,15347205058.0,21.440527885999998,49.0,1.1,25.0,0.302618501615587,2048.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,40.0,0.6,50962346367.0,17940191049.0,24.984740945,50.0,1.1,25.0,0.35202835677552097,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,45.0,0.6,50667329841.0,15444617888.0,21.505858694,49.0,1.1,25.0,0.304823994800338,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.6,50.0,0.599,49443871740.0,16546044152.0,23.080712007,49.0,1.1,25.0,0.334642971307084,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,20.0,0.7929999999999999,49488326722.0,15239806480.0,16.050217829,49.0,1.1,25.0,0.307947499732803,5900.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,25.0,0.746,50834231123.0,15373556631.0,17.220762697,49.0,1.1,25.0,0.30242528098441496,16652.0
